premise_1,premise_2,conclusion,group,form,validity,abstraction,plausibility,pair,statement_text,mean_rating,row_num,condition
Some sandals are living,All shoes are sandals,Some shoes are living,4,Disamis,invalid,concrete,implausible,30,Some sandals are living All shoes are sandals Some shoes are living,1,1,condition_1
Some sandwiches are beverages,All sandwiches are hamburgers,Some hamburgers are beverages,4,Disamis,valid,concrete,implausible,15,Some sandwiches are beverages All sandwiches are hamburgers Some hamburgers are beverages,1.15625,3,condition_1
All jugglers are clowns,Some lions can juggle,Some lions are clowns,1,Darii,valid,concrete,implausible,4,All jugglers are clowns Some lions can juggle Some lions are clowns,1.2857142857142858,5,condition_1
Some cups are napkins,All containers are cups,Some containers are napkins,4,Disamis,invalid,concrete,implausible,32,Some cups are napkins All containers are cups Some containers are napkins,1.3846153846153846,7,condition_1
Some fruits are carrots,All fruits are wheat,Some wheat is carrots,4,Disamis,valid,concrete,implausible,13,Some fruits are carrots All fruits are wheat Some wheat is carrots,1.4482758620689655,9,condition_1
Some weapons are healing,All weapons are swords,Some swords are healing,4,Disamis,valid,concrete,implausible,14,Some weapons are healing All weapons are swords Some swords are healing,1.5555555555555556,11,condition_1
Some beaches are offices,All rooms are offices,Some rooms are beaches,3,Dimatis,invalid,concrete,implausible,27,Some beaches are offices All rooms are offices Some rooms are beaches,1.6129032258064515,13,condition_1
All hotdogs are chilidogs,Some chilidogs are tacos,Some tacos are hotdogs,2,Datisi,invalid,concrete,implausible,21,All hotdogs are chilidogs Some chilidogs are tacos Some tacos are hotdogs,1.6875,15,condition_1
Some gravel is buoyant,All roads are gravel,Some roads are buoyant,4,Disamis,invalid,concrete,implausible,29,Some gravel is buoyant All roads are gravel Some roads are buoyant,1.8181818181818181,17,condition_1
All pens are markers,Some markers are lighters,Some lighters are pens,2,Datisi,invalid,concrete,implausible,22,All pens are markers Some markers are lighters Some lighters are pens,1.8888888888888888,19,condition_1
Some infants are liars,All liars are felons,Some felons are infants,3,Dimatis,valid,concrete,implausible,9,Some infants are liars All liars are felons Some felons are infants,1.9705882352941178,21,condition_1
All school teachers are authors,Some school teachers are illiterate,Some authors are illiterate,2,Datisi,valid,concrete,implausible,5,All school teachers are authors Some school teachers are illiterate Some authors are illiterate,2.111111111111111,23,condition_1
All sculptures are paintings,Some paintings produce audio,Some things that produce audio are sculptures,2,Datisi,invalid,concrete,implausible,23,All sculptures are paintings Some paintings produce audio Some things that produce audio are sculptures,2.17,25,condition_1
All sculptures are statues,Some sculptures are graffiti,Some graffiti are statues,2,Datisi,valid,concrete,implausible,8,All sculptures are statues Some sculptures are graffiti Some graffiti are statues,2.3214285714285716,27,condition_1
All cups are mugs,Some cups are bottles,Some bottles are mugs,2,Datisi,valid,concrete,implausible,6,All cups are mugs Some cups are bottles Some bottles are mugs,2.689655172413793,29,condition_1
All guitarists are baritones,Some piccolos are guitarists,Some piccolos are baritones,1,Darii,valid,concrete,implausible,3,All guitarists are baritones Some piccolos are guitarists Some piccolos are baritones,2.9,31,condition_1
All speakers are hardware,Some hardware produces audio,Some speakers produce audio,2,Datisi,invalid,concrete,plausible,24,All speakers are hardware Some hardware produces audio Some speakers produce audio,3.857142857142857,33,condition_1
Some parents are widows,All widows are women,Some women are parents,3,Dimatis,valid,concrete,plausible,11,Some parents are widows All widows are women Some women are parents,3.9411764705882355,35,condition_1
Some containers are glasses,All cups are containers,Some cups are glasses,4,Disamis,invalid,concrete,plausible,32,Some containers are glasses All cups are containers Some cups are glasses,4.033333333333333,37,condition_1
All ponies neigh,Some ponies are thoroughbreds,Some thoroughbreds neigh,2,Datisi,valid,concrete,plausible,7,All ponies neigh Some ponies are thoroughbreds Some thoroughbreds neigh,4.088235294117647,39,condition_1
Some bags are pieces of luggage,All suitcases are pieces of luggage,Some suitcases are bags,3,Dimatis,invalid,concrete,plausible,25,Some bags are pieces of luggage All suitcases are pieces of luggage Some suitcases are bags,4.111111111111111,41,condition_1
All dolls are man made,Some toys are dolls,Some toys are man made,1,Darii,valid,concrete,plausible,1,All dolls are man made Some toys are dolls Some toys are man made,4.171428571428572,43,condition_1
All vocalists are singers,Some guitarists are singers,Some guitarists are vocalists,1,Darii,invalid,concrete,plausible,17,All vocalists are singers Some guitarists are singers Some guitarists are vocalists,4.228571428571429,45,condition_1
Some desserts are sweet,All candy is sweet,Some candy is dessert,3,Dimatis,invalid,concrete,plausible,28,Some desserts are sweet All candy is sweet Some candy is dessert,4.233333333333333,47,condition_1
All poets are writers,Some poets are teachers,Some teachers are writers,2,Datisi,valid,concrete,plausible,5,All poets are writers Some poets are teachers Some teachers are writers,4.333333333333333,49,condition_1
Some buildings are workspaces,All offices are workspaces,Some offices are buildings,3,Dimatis,invalid,concrete,plausible,27,Some buildings are workspaces All offices are workspaces Some offices are buildings,4.388888888888889,51,condition_1
All chili dogs are hotdogs,Some hotdogs are grilled,Some grilled things are chili dogs,2,Datisi,invalid,concrete,plausible,21,All chili dogs are hotdogs Some hotdogs are grilled Some grilled things are chili dogs,4.444444444444445,53,condition_1
Some cars are trucks,All trucks are vehicles,Some vehicles are cars,3,Dimatis,valid,concrete,plausible,10,Some cars are trucks All trucks are vehicles Some vehicles are cars,4.551724137931035,55,condition_1
Some bags are suitcases,All suitcases are pieces of luggage,Some pieces of luggage are bags,3,Dimatis,valid,concrete,plausible,12,Some bags are suitcases All suitcases are pieces of luggage Some pieces of luggage are bags,4.620689655172414,57,condition_1
All pens are writing utensils,Some writing utensils use black ink,Some things that use black ink are pens,2,Datisi,invalid,concrete,plausible,22,All pens are writing utensils Some writing utensils use black ink Some things that use black ink are pens,4.793103448275862,59,condition_1
Some rifles are for hunting,All rifles are guns,Some guns are for hunting,4,Disamis,valid,concrete,plausible,16,Some rifles are for hunting All rifles are guns Some guns are for hunting,4.966666666666667,61,condition_1
